source/a/upload/ :文件夹视频转码服务开启...
source/b/upload/ :文件夹视频转码服务开启...
source/x/upload/ :文件夹视频转码服务开启...
20165519591336vv4562.mp4：视频转码完成进度: 3%
2016551959w6684.mp4：视频转码完成进度: 3%
2016551959w6684.mp4：视频转码完成进度: 3%
20165519596684.mp4：视频转码完成进度: 2%
20165519594554vq86614.mp4：视频转码完成进度: 1%
20165519594554vq86614.mp4：视频转码完成进度: 2%
20165519591336vv4562.mp4：视频转码完成进度: 3%
20165519596684.mp4：视频转码完成进度: 3%
2016551959w6684.mp4：视频转码完成进度: 5%
20165519591336vv4562.mp4：视频转码完成进度: 4%
2016551959w6684.mp4：视频转码完成进度: 5%
20165519591336vv4562.mp4：视频转码完成进度: 4%
20165519594554vq86614.mp4：视频转码完成进度: 3%
20165519596684.mp4：视频转码完成进度: 3%
2016551959w6684.mp4：视频转码完成进度: 5%
20165519596684.mp4：视频转码完成进度: 5%
2016551959w6684.mp4：视频转码完成进度: 5%
20165519591336vv4562.mp4：视频转码完成进度: 6%
20165519594554vq86614.mp4：视频转码完成进度: 3%
20165519591336vv4562.mp4：视频转码完成进度: 5%
20165519594554vq86614.mp4：视频转码完成进度: 2%
20165519596684.mp4：视频转码完成进度: 5%
2016551959w6684.mp4：视频转码完成进度: 6%
20165519591336vv4562.mp4：视频转码完成进度: 7%
2016551959w6684.mp4：视频转码完成进度: 6%
20165519596684.mp4：视频转码完成进度: 5%
20165519594554vq86614.mp4：视频转码完成进度: 4%
20165519591336vv4562.mp4：视频转码完成进度: 6%
20165519594554vq86614.mp4：视频转码完成进度: 3%
20165519596684.mp4：视频转码完成进度: 5%
20165519591336vv4562.mp4：视频转码完成进度: 7%
20165519596684.mp4：视频转码完成进度: 6%
2016551959w6684.mp4：视频转码完成进度: 6%
2016551959w6684.mp4：视频转码完成进度: 7%
20165519594554vq86614.mp4：视频转码完成进度: 4%
20165519591336vv4562.mp4：视频转码完成进度: 7%
20165519594554vq86614.mp4：视频转码完成进度: 4%
2016551959w6684.mp4：视频转码完成进度: 7%
20165519596684.mp4：视频转码完成进度: 6%
2016551959w6684.mp4：视频转码完成进度: 8%
20165519594554vq86614.mp4：视频转码完成进度: 5%
20165519596684.mp4：视频转码完成进度: 7%
20165519591336vv4562.mp4：视频转码完成进度: 8%
20165519591336vv4562.mp4：视频转码完成进度: 7%
20165519594554vq86614.mp4：视频转码完成进度: 4%
20165519591336vv4562.mp4：视频转码完成进度: 10%
2016551959w6684.mp4：视频转码完成进度: 8%
20165519596684.mp4：视频转码完成进度: 7%
2016551959w6684.mp4：视频转码完成进度: 8%
20165519594554vq86614.mp4：视频转码完成进度: 6%
20165519594554vq86614.mp4：视频转码完成进度: 5%
20165519596684.mp4：视频转码完成进度: 8%
20165519591336vv4562.mp4：视频转码完成进度: 9%
thumbnail：不是视频文件...
video：不是视频文件...
thumbnail：不是视频文件...
video：不是视频文件...
20165519591336vv4562.mp4：视频转码完成进度: 10%
20165519596684.mp4：视频转码完成进度: 8%
2016551959w6684.mp4：视频转码完成进度: 9%
20165519591336vv4562.mp4：视频转码完成进度: 10%
20165519594554vq86614.mp4：视频转码完成进度: 7%
2016551959w6684.mp4：视频转码完成进度: 9%
20165519596684.mp4：视频转码完成进度: 9%
20165519594554vq86614.mp4：视频转码完成进度: 6%
20165519591336vv4562.mp4：视频转码完成进度: 11%
2016551959w6684.mp4：视频转码完成进度: 10%
20165519596684.mp4：视频转码完成进度: 8%
20165519591336vv4562.mp4：视频转码完成进度: 11%
2016551959w6684.mp4：视频转码完成进度: 10%
20165519596684.mp4：视频转码完成进度: 10%
20165519594554vq86614.mp4：视频转码完成进度: 7%
20165519594554vq86614.mp4：视频转码完成进度: 7%
20165519596684.mp4：视频转码完成进度: 9%
2016551959w6684.mp4：视频转码完成进度: 11%
2016551959w6684.mp4：视频转码完成进度: 11%
20165519591336vv4562.mp4：视频转码完成进度: 12%
20165519594554vq86614.mp4：视频转码完成进度: 8%
20165519591336vv4562.mp4：视频转码完成进度: 13%
20165519594554vq86614.mp4：视频转码完成进度: 7%
20165519596684.mp4：视频转码完成进度: 11%
20165519596684.mp4：视频转码完成进度: 10%
2016551959w6684.mp4：视频转码完成进度: 11%
2016551959w6684.mp4：视频转码完成进度: 11%
20165519591336vv4562.mp4：视频转码完成进度: 13%
20165519594554vq86614.mp4：视频转码完成进度: 9%
20165519594554vq86614.mp4：视频转码完成进度: 8%
20165519591336vv4562.mp4：视频转码完成进度: 13%
20165519596684.mp4：视频转码完成进度: 11%
20165519596684.mp4：视频转码完成进度: 11%
2016551959w6684.mp4：视频转码完成进度: 11%
20165519591336vv4562.mp4：视频转码完成进度: 15%
20165519596684.mp4：视频转码完成进度: 12%
20165519594554vq86614.mp4：视频转码完成进度: 10%
2016551959w6684.mp4：视频转码完成进度: 12%
20165519594554vq86614.mp4：视频转码完成进度: 9%
20165519591336vv4562.mp4：视频转码完成进度: 15%
20165519596684.mp4：视频转码完成进度: 11%
2016551959w6684.mp4：视频转码完成进度: 12%
20165519591336vv4562.mp4：视频转码完成进度: 15%
20165519594554vq86614.mp4：视频转码完成进度: 11%
20165519596684.mp4：视频转码完成进度: 12%
2016551959w6684.mp4：视频转码完成进度: 13%
20165519594554vq86614.mp4：视频转码完成进度: 9%
20165519596684.mp4：视频转码完成进度: 12%
20165519591336vv4562.mp4：视频转码完成进度: 15%
2016551959w6684.mp4：视频转码完成进度: 13%
20165519594554vq86614.mp4：视频转码完成进度: 11%
2016551959w6684.mp4：视频转码完成进度: 14%
20165519591336vv4562.mp4：视频转码完成进度: 16%
20165519594554vq86614.mp4：视频转码完成进度: 10%
20165519596684.mp4：视频转码完成进度: 14%
20165519596684.mp4：视频转码完成进度: 13%
20165519591336vv4562.mp4：视频转码完成进度: 17%
20165519591336vv4562.mp4：视频转码完成进度: 16%
20165519594554vq86614.mp4：视频转码完成进度: 12%
2016551959w6684.mp4：视频转码完成进度: 14%
20165519596684.mp4：视频转码完成进度: 14%
20165519594554vq86614.mp4：视频转码完成进度: 11%
2016551959w6684.mp4：视频转码完成进度: 15%
20165519591336vv4562.mp4：视频转码完成进度: 18%
20165519594554vq86614.mp4：视频转码完成进度: 12%
20165519591336vv4562.mp4：视频转码完成进度: 17%
20165519596684.mp4：视频转码完成进度: 14%
20165519594554vq86614.mp4：视频转码完成进度: 11%
2016551959w6684.mp4：视频转码完成进度: 15%
2016551959w6684.mp4：视频转码完成进度: 16%
20165519596684.mp4：视频转码完成进度: 15%
20165519591336vv4562.mp4：视频转码完成进度: 19%
20165519591336vv4562.mp4：视频转码完成进度: 18%
20165519594554vq86614.mp4：视频转码完成进度: 13%
2016551959w6684.mp4：视频转码完成进度: 16%
2016551959w6684.mp4：视频转码完成进度: 17%
20165519596684.mp4：视频转码完成进度: 15%
20165519596684.mp4：视频转码完成进度: 16%
20165519594554vq86614.mp4：视频转码完成进度: 12%
20165519591336vv4562.mp4：视频转码完成进度: 20%
20165519591336vv4562.mp4：视频转码完成进度: 20%
20165519594554vq86614.mp4：视频转码完成进度: 14%
2016551959w6684.mp4：视频转码完成进度: 17%
20165519594554vq86614.mp4：视频转码完成进度: 12%
20165519596684.mp4：视频转码完成进度: 16%
20165519596684.mp4：视频转码完成进度: 17%
2016551959w6684.mp4：视频转码完成进度: 17%
20165519591336vv4562.mp4：视频转码完成进度: 21%
20165519591336vv4562.mp4：视频转码完成进度: 22%
20165519594554vq86614.mp4：视频转码完成进度: 15%
20165519594554vq86614.mp4：视频转码完成进度: 14%
2016551959w6684.mp4：视频转码完成进度: 17%
20165519596684.mp4：视频转码完成进度: 17%
2016551959w6684.mp4：视频转码完成进度: 17%
20165519591336vv4562.mp4：视频转码完成进度: 22%
20165519596684.mp4：视频转码完成进度: 17%
20165519591336vv4562.mp4：视频转码完成进度: 22%
20165519594554vq86614.mp4：视频转码完成进度: 14%
20165519594554vq86614.mp4：视频转码完成进度: 15%
2016551959w6684.mp4：视频转码完成进度: 19%
20165519596684.mp4：视频转码完成进度: 18%
2016551959w6684.mp4：视频转码完成进度: 18%
20165519591336vv4562.mp4：视频转码完成进度: 24%
20165519596684.mp4：视频转码完成进度: 17%
20165519591336vv4562.mp4：视频转码完成进度: 23%
20165519594554vq86614.mp4：视频转码完成进度: 15%
2016551959w6684.mp4：视频转码完成进度: 20%
20165519594554vq86614.mp4：视频转码完成进度: 17%
20165519591336vv4562.mp4：视频转码完成进度: 24%
20165519596684.mp4：视频转码完成进度: 18%
2016551959w6684.mp4：视频转码完成进度: 19%
20165519596684.mp4：视频转码完成进度: 19%
20165519594554vq86614.mp4：视频转码完成进度: 15%
20165519594554vq86614.mp4：视频转码完成进度: 17%
20165519591336vv4562.mp4：视频转码完成进度: 24%
2016551959w6684.mp4：视频转码完成进度: 21%
20165519591336vv4562.mp4：视频转码完成进度: 25%
20165519596684.mp4：视频转码完成进度: 19%
20165519596684.mp4：视频转码完成进度: 20%
20165519591336vv4562.mp4：视频转码完成进度: 25%
2016551959w6684.mp4：视频转码完成进度: 20%
20165519594554vq86614.mp4：视频转码完成进度: 18%
20165519594554vq86614.mp4：视频转码完成进度: 16%
20165519596684.mp4：视频转码完成进度: 20%
20165519596684.mp4：视频转码完成进度: 21%
2016551959w6684.mp4：视频转码完成进度: 22%
2016551959w6684.mp4：视频转码完成进度: 21%
20165519591336vv4562.mp4：视频转码完成进度: 26%
20165519594554vq86614.mp4：视频转码完成进度: 17%
20165519594554vq86614.mp4：视频转码完成进度: 18%
20165519596684.mp4：视频转码完成进度: 21%
2016551959w6684.mp4：视频转码完成进度: 22%
2016551959w6684.mp4：视频转码完成进度: 22%
20165519591336vv4562.mp4：视频转码完成进度: 26%
20165519596684.mp4：视频转码完成进度: 22%
20165519591336vv4562.mp4：视频转码完成进度: 28%
20165519594554vq86614.mp4：视频转码完成进度: 18%
20165519596684.mp4：视频转码完成进度: 22%
20165519594554vq86614.mp4：视频转码完成进度: 19%
2016551959w6684.mp4：视频转码完成进度: 22%
20165519591336vv4562.mp4：视频转码完成进度: 28%
20165519596684.mp4：视频转码完成进度: 22%
20165519594554vq86614.mp4：视频转码完成进度: 18%
2016551959w6684.mp4：视频转码完成进度: 23%
20165519596684.mp4：视频转码完成进度: 22%
20165519591336vv4562.mp4：视频转码完成进度: 28%
